,0
2020-01-02,0.0
2020-01-03,0.005026722226590508
2020-01-06,0.0048935291357532495
2020-01-07,0.012624730148524499
2020-01-08,-0.012087388513800312
2020-01-09,0.010658436889740441
2020-01-10,-0.0039824712621160385
2020-01-13,0.002544399477628412
2020-01-14,-0.00026643079192956165
2020-01-15,-0.009766659287262947
2020-01-16,-0.0059436499207023985
2020-01-17,-0.003266692233225621
2020-01-20,0.004329596196192886
2020-01-21,-0.008348222443003372
2020-01-22,-0.0014266862385248213
2020-01-23,-0.026392543570358695
2020-02-03,-0.08272256556881186
2020-02-04,-0.009714176887940407
2020-02-05,0.0337583990879633
2020-02-06,0.024466353751194436
2020-02-07,0.009977632858161334
2020-02-10,0.026636387960337515
2020-02-11,0.003732082806296333
2020-02-12,0.012110558097465418
2020-02-13,-0.012440519693932117
2020-02-14,6.373337949239222e-05
2020-02-17,0.03184015168612975
2020-02-18,0.012327683472590723
2020-02-19,-0.0005945667388098652
2020-02-20,0.018122574954509973
2020-02-21,0.004365641362753747
2020-02-24,-0.00021973373572548027
2020-02-25,-0.011971188142084088
2020-02-26,0.013551185434095503
2020-02-27,0.004805807547413998
2020-02-28,-0.044225283356955636
2020-03-02,0.039765302102995115
2020-03-03,0.013136015527019262
2020-03-04,0.021317492983675468
2020-03-05,0.023511339825435407
2020-03-06,-0.000998342647084649
2020-03-09,-0.025767073018565734
2020-03-10,0.01772825415490331
2020-03-11,0.0018478220289366298
2020-03-12,-0.014523818228525442
2020-03-13,-0.007354696495051605
2020-03-16,-0.025469503456584497
2020-03-17,-0.009457446783839196
2020-03-18,-0.018223722032932765
2020-03-19,0.001314868325764884
2020-03-20,0.016363266662042353
2020-03-23,-0.04156809384070581
2020-03-24,0.017418292043902772
2020-03-25,0.03271248066808585
2020-03-26,-0.012202180141833052
2020-03-27,-0.0049532821037531205
2020-03-30,-0.027230631543851302
2020-03-31,-0.008875303742473029
2020-04-01,0.0050775909986984225
2020-04-02,0.03381174445517332
2020-04-03,-0.0048957090943466675
2020-04-07,0.03135117559031908
2020-04-08,0.009836897836036362
2020-04-09,0.008173107188612638
2020-04-10,-0.01981340621004246
2020-04-13,-0.013850329498294123
2020-04-14,0.024867571858278925
2020-04-15,-0.004109225432007757
2020-04-16,0.004097110948338534
2020-04-17,0.001500211475309321
2020-04-20,0.003729999670708306
2020-04-21,-0.007046725124051578
2020-04-22,0.008365469979376927
2020-04-23,-0.0070977730607221234
2020-04-24,-0.018057815257207954
2020-04-27,-0.008103276432867235
2020-04-28,-0.024776990030558887
2020-04-29,0.0013072759879824147
2020-04-30,0.02860274469319557
2020-05-06,0.014868011114844037
2020-05-07,-0.00558392074387748
2020-05-08,0.011530135287761256
2020-05-11,-0.0029740766201541424
2020-05-12,-0.007908547654813858
2020-05-13,0.0033003904839261633
2020-05-14,-0.006423358050177019
2020-05-15,-0.0034350246019250186
2020-05-18,-0.011670429971223695
2020-05-19,0.003322458183730559
2020-05-20,-0.007245744477029525
2020-05-21,-0.005614799974620888
2020-05-22,-0.011255980743755889
2020-05-25,-0.0007778553332010718
2020-05-26,0.02480320843576389
2020-05-27,0.00038955500406379073
2020-05-28,-0.004353634640062332
2020-05-29,0.008555535839263939
2020-06-01,0.02904437058100462
2020-06-02,0.010545342162667115
2020-06-03,0.005795849439998335
2020-06-04,0.00832933990511786
2020-06-05,0.006069453363079624
2020-06-08,-0.00184777558933924
2020-06-09,0.007899373535944276
2020-06-10,-0.006286793787015688
2020-06-11,-0.0015223665244123996
2020-06-12,0.0010669844709250143
2020-06-15,-0.004526462414937815
2020-06-16,0.010367876471698123
2020-06-17,0.0031418730651131543
2020-06-18,0.007140134532809483
2020-06-19,-0.0010134039747403678
2020-06-22,-0.0043836682183872044
2020-06-23,-0.003119934787385481
2020-06-24,0.0020922437783630343
2020-06-29,-0.005181214540425749
2020-06-30,0.003900308375011541
2020-07-01,0.005158105801902124
2020-07-02,0.012355663040925169
2020-07-03,0.013590310792076066
2020-07-06,0.029082202781703925
2020-07-07,-0.001974536750795619
2020-07-08,0.01365418430550025
2020-07-09,0.019077279838316086
2020-07-10,-0.005052334774167888
2020-07-13,0.025469178851813323
2020-07-14,0.004570527407269598
2020-07-15,-0.01441680314823035
2020-07-16,-0.02642009900695874
2020-07-17,-0.00018725992864521146
2020-07-20,0.029609858751270757
2020-07-21,0.006437253789848052
2020-07-22,0.0010432320490307845
2020-07-23,-0.0037891330574845172
2020-07-24,-0.02037093820125635
2020-07-27,0.001569932230282678
2020-07-28,0.0133567325745374
2020-07-29,0.013837869649766299
2020-07-30,0.003026205722872932
2020-07-31,0.007744372965583279
2020-08-03,0.019746188557113742
2020-08-04,0.004061205633486553
2020-08-05,0.009200475966802957
2020-08-06,0.0004485542060814751
2020-08-07,-0.008684697902686223
2020-08-10,0.012114299354685443
2020-08-11,-0.010247037731682784
2020-08-12,0.00018213763304308905
2020-08-13,0.014195331734367267
2020-08-14,0.003712967195430572
2020-08-17,0.012442301145583645
2020-08-18,0.0056829714660273645
2020-08-19,-0.0013081490785020744
2020-08-20,-0.00421622954563261
2020-08-21,0.006436016442811443
2020-08-24,0.0026239220002497454
2020-08-25,-0.0026496455913173067
2020-08-26,-0.014671284057278133
2020-08-27,0.010405511074959461
2020-08-28,0.005403729971207305
2020-08-31,-0.000169084300028155
2020-09-01,0.0019991278537359047
2020-09-02,-0.00015395261613060374
2020-09-03,2.3493371569482946e-05
2020-09-04,0.0027308032199997445
2020-09-07,-0.007902216728504774
2020-09-08,0.010921458696011133
2020-09-09,-0.012635613720078376
