date,cumulative_return,daily_return
2021-04-14,34.15,1.2376424420798449
2021-04-15,34.04,-0.08199776369735012
2021-04-16,36.39,1.7532079976126491
2021-04-19,37.98,1.165774616907389
2021-04-20,37.66,-0.23191766922741053
2021-04-21,37.95,0.21066395467093102
2021-04-22,38.49,0.39144617615078925
2021-04-23,37.76,-0.5271138710376211
2021-04-26,37.59,-0.12340301974447243
2021-04-27,36.6,-0.7195290355403783
2021-04-28,36.82,0.16105417276719436
2021-04-29,36.55,-0.1973395702382752
2021-04-30,36.16,-0.285609666788722
2021-05-06,35.88,-0.2056404230317166
2021-05-07,35.66,-0.16190756549896435
2021-05-10,36.37,0.5233672416334878
2021-05-11,37.99,1.1879445625870844
2021-05-12,39.24,0.9058627436770772
2021-05-13,39.6,0.2585463947141431
2021-05-14,41.42,1.3037249283667673
2021-05-17,38.46,-2.0930561448168628
2021-05-18,39.05,0.42611584573160055
2021-05-19,38.82,-0.16540812657317439
2021-05-20,38.02,-0.5762858377755253
2021-05-21,38.37,0.2535864367482876
2021-05-24,39.27,0.65043000650431
2021-05-25,40.42,0.825734185395266
2021-05-26,41.22,0.569719413188996
2021-05-27,43.14,1.359580795921267
2021-05-28,42.99,-0.10479251082856633
2021-05-31,44.22,0.8602000139869892
2021-06-01,45.6,0.9568714464013306
2021-06-02,45.0,-0.4120879120879106
2021-06-03,45.64,0.4413793103448249
2021-06-04,45.83,0.13045866520187133
2021-06-07,47.44,1.1040252348625046
2021-06-08,48.08,0.43407487791644606
2021-06-09,49.15,0.7225823878984405
2021-06-10,47.94,-0.8112638283607088
2021-06-11,47.52,-0.283898877923483
2021-06-15,46.7,-0.5558568329718017
2021-06-16,45.2,-1.0224948875255713
2021-06-17,45.85,0.44765840220384323
2021-06-18,47.16,0.8981830647926126
2021-06-21,48.93,1.2027724925251393
2021-06-22,50.17,0.8326059222453441
2021-06-23,51.25,0.719184923753069
2021-06-24,51.52,0.17851239669421926
2021-06-25,52.22,0.4619852164730709
2021-06-28,52.21,-0.0065694389699166855
2021-06-29,51.29,-0.6044280927665624
2021-06-30,51.9,0.40319915394275707
2021-07-01,50.52,-0.908492429229768
2021-07-02,49.94,-0.3853308530427757
2021-07-05,52.24,1.5339469120981608
2021-07-06,52.05,-0.1248029427220132
2021-07-07,53.06,0.6642551792173768
2021-07-08,52.13,-0.6076048608388951
2021-07-09,53.07,0.6178925918622236
2021-07-12,53.48,0.2678513098582247
2021-07-13,54.3,0.5342715663278597
2021-07-14,53.19,-0.7193778353856151
2021-07-15,51.82,-0.8943142502774171
2021-07-16,51.71,-0.07245422210511165
2021-07-19,51.47,-0.15819655922484355
2021-07-20,51.95,0.3168944345415037
2021-07-21,53.54,1.0463968410661328
2021-07-22,53.64,0.06512960791975608
2021-07-23,50.99,-1.7248112470710786
2021-07-26,47.62,-2.2319358897940345
2021-07-27,44.44,-2.154179650453869
2021-07-28,42.47,-1.3638881196344377
2021-07-29,44.77,1.6143749561311038
2021-07-30,46.25,1.022311252331276
2021-08-02,49.52,2.2358974358974493
2021-08-03,50.3,0.5216693418940599
2021-08-04,50.49,0.12641383898868153
2021-08-05,49.26,-0.8173300551531759
2021-08-06,48.25,-0.6766715797936529
2021-08-09,53.29,3.399662731871844
2021-08-10,55.29,1.3047165503294211
2021-08-11,56.08,0.5087256101487636
2021-08-12,56.44,0.23065094823166987
2021-08-13,56.26,-0.11506008693429326
2021-08-16,57.8,0.985536925636743
2021-08-17,54.6,-2.027883396704677
2021-08-18,55.63,0.6662354463130571
2021-08-19,55.61,-0.012850992739188438
2021-08-20,54.23,-0.886832465779841
2021-08-23,58.07,2.4897879789924193
2021-08-24,58.86,0.49977857911052137
2021-08-25,59.74,0.5539468714591322
2021-08-26,58.36,-0.8639038437460722
2021-08-27,57.74,-0.39151300833545344
2021-08-30,56.53,-0.7670850767084958
2021-08-31,55.42,-0.7091292404012073
2021-09-01,56.89,0.9458242182473153
2021-09-02,56.71,-0.1147300656510919
2021-09-03,58.24,0.9763256971476064
2021-09-06,61.52,2.07280080889789
2021-09-07,63.02,0.9286775631500488
2021-09-08,65.39,1.4538093485461978
2021-09-09,65.32,-0.04232420339803644
2021-09-10,64.7,-0.37503024437454124
2021-09-13,65.46,0.4614450516089663
2021-09-14,64.15,-0.7917321406986422
2021-09-15,64.48,0.20103563813584913
2021-09-16,62.42,-1.2524319066147815
2021-09-17,62.16,-0.16007880802857422
2021-09-22,62.42,0.16033547113962765
2021-09-23,64.58,1.3298854820834816
2021-09-24,62.9,-1.0207801676995976
2021-09-27,59.06,-2.357274401473297
2021-09-28,60.0,0.590971960266562
2021-09-29,56.18,-2.387500000000009
2021-09-30,60.75,2.926110897682177
2021-10-08,64.34,2.233281493001571
2021-10-11,64.43,0.054764512595828485
2021-10-12,61.94,-1.5143222039773807
2021-10-13,63.17,0.759540570581696
2021-10-14,64.53,0.8334865477722664
2021-10-15,63.13,-0.8509086488786233
2021-10-18,64.31,0.7233494758781323
2021-10-19,64.38,0.04260239790638831
2021-10-20,63.28,-0.6691811655919144
2021-10-21,61.96,-0.8084272415482485
2021-10-22,60.98,-0.6050876759693957
2021-10-25,61.7,0.4472605292582976
2021-10-26,60.43,-0.7854050711193716
2021-10-27,57.39,-1.8949074362650253
2021-10-28,54.02,-2.141177965563257
2021-10-29,56.3,1.4803272302298387
2021-11-01,58.32,1.2923864363403759
2021-11-02,54.84,-2.1980798383021805
2021-11-03,56.73,1.220614828209765
