,date,benchmark,strategy
0,2020-01-02,1.0074956273433833,1.0
1,2020-01-03,1.0057300965189235,1.0050267222265905
2,2020-01-06,1.0019281985081254,1.0099448497740169
3,2020-01-07,1.0094335408916109,1.022695130967306
4,2020-01-08,0.9978086660764188,1.0103334175881322
5,2020-01-09,1.010438573637812,1.021101992557091
6,2020-01-10,1.0101510321460014,1.0170354832160429
7,2020-01-13,1.0200516058191196,1.0196232277682673
8,2020-01-14,1.0166300160855,1.0193515687442232
9,2020-01-15,1.011012353384347,1.0093959092783613
10,2020-01-16,1.0067198458483784,1.0033964133622217
11,2020-01-17,1.008129592948113,1.0001186260918449
12,2020-01-20,1.0156458351326891,1.0044487358911138
13,2020-01-21,0.9982918116073641,0.9960633744113012
14,2020-01-22,1.0025678509655982,0.99464230450233
15,2020-01-23,0.9715027070011438,0.9683911641438303
16,2020-02-03,0.8949394237630593,0.8882833625716843
17,2020-02-04,0.9185433576908347,0.8796544208610484
18,2020-02-05,0.9289501797341659,0.9093501458599669
19,2020-02-06,0.9462376789300093,0.9315986282122771
20,2020-02-07,0.9462604855790302,0.940893777295746
21,2020-02-10,0.9501757059783397,0.9659557889772629
22,2020-02-11,0.9590221385622998,0.9695608159689473
23,2020-02-12,0.9667787687513605,0.9813027385597652
24,2020-02-13,0.9608307354486769,0.969094822515003
25,2020-02-14,0.9675799633695599,0.9691565862030904
26,2020-02-17,0.9893423048174397,1.0000146789154085
27,2020-02-18,0.9845103756035913,1.0123425433450222
28,2020-02-19,0.9830060253389571,1.011740638140467
29,2020-02-20,1.0056553381005746,1.0300759836896913
30,2020-02-21,1.006828369954888,1.0345729260108663
31,2020-02-24,1.0027878610810874,1.0343455954369534
32,2020-02-25,1.0006080193390907,1.0219632497100417
33,2020-02-26,0.9882724656451897,1.0358120632136933
34,2020-02-27,0.991150190847224,1.0407899766447881
35,2020-02-28,0.9560095283217709,0.9947607450125932
36,2020-03-02,0.9874598973215044,1.0343177065582194
37,2020-03-03,0.9927239681057604,1.0479045200114392
38,2020-03-04,0.998472250705851,1.0702432172643448
39,2020-03-05,1.0207157828290458,1.0954060692413141
40,2020-03-06,1.0041633685882663,1.0943124786465153
41,2020-03-09,0.9698604505574954,1.0661152491041028
42,2020-03-10,0.9906300807734499,1.0850156111986384
43,2020-03-11,0.9774541761106927,1.0870205269467514
44,2020-03-12,0.9586453253300359,1.0712328384027008
45,2020-03-13,0.9451549851010381,1.0633542460007162
46,2020-03-16,0.9045195195888974,1.036271141356627
47,2020-03-17,0.9001137489024671,1.0264706621836184
48,2020-03-18,0.882297846305933,1.0077645461610236
49,2020-03-19,0.8708540029697219,1.0090896238425995
50,2020-03-20,0.8864147722634659,1.025601626443436
51,2020-03-23,0.8565900730535474,0.9829693217922547
52,2020-03-24,0.8795943402071983,1.0000909685094292
53,2020-03-25,0.9032282485879725,1.0328064249831213
54,2020-03-26,0.8972906411819842,1.0202039349338345
55,2020-03-27,0.9002055678790447,1.0151505770407483
56,2020-03-30,0.8914827651041923,0.9875073857158236
57,2020-03-31,0.8944051557954779,0.9787429577196602
58,2020-04-01,0.89171687387544,0.9837126141518171
59,2020-04-02,0.9061429383328354,1.016973653678849
60,2020-04-03,0.9009717528100459,1.0119948465138224
61,2020-04-07,0.9215483262229904,1.0437220746433753
62,2020-04-08,0.9172591952558381,1.053989062060858
63,2020-04-09,0.9202839492964952,1.0626034276407068
64,2020-04-10,0.9145498245902122,1.041549634288678
65,2020-04-13,0.9106866151982801,1.0271238286649522
66,2020-04-14,0.9282640254079105,1.0526659042816284
67,2020-04-15,0.9213883834895976,1.048340262776347
68,2020-04-16,0.9226060215951127,1.052635429144552
69,2020-04-17,0.9316094942480448,1.054214604894672
70,2020-04-20,0.93499868076864,1.0581468250237849
71,2020-04-21,0.9239809959598468,1.0506903552069544
72,2020-04-22,0.9315843180770478,1.0594798738310591
73,2020-04-23,0.9292474955041284,1.0519599261242039
74,2020-04-24,0.9212937210866488,1.0329638281202669
75,2020-04-27,0.9275530503389544,1.0245934366758556
76,2020-04-28,0.9339532476727447,0.9992070953099618
77,2020-04-29,0.9382929679340887,1.0005133347526822
78,2020-04-30,0.9493440037646969,1.0291307622287509
79,2020-05-06,0.9550889097959714,1.0444318898401959
80,2020-05-07,0.9523326818332662,1.03859986494495
81,2020-05-08,0.9617293766581473,1.0505750618976157
82,2020-05-11,0.9608944163517871,1.047450571168309
83,2020-05-12,0.9609083372933972,1.0391667584101625
84,2020-05-13,0.9628531224553558,1.0425964144908317
85,2020-05-14,0.9524111130106782,1.0358994444187264
86,2020-05-15,0.9494019385770146,1.0323411043420276
87,2020-05-18,0.9518515503960007,1.0202932397773883
88,2020-05-19,0.9599406245183209,1.0236831214016917
89,2020-05-20,0.9548385105611374,1.016265775078567
90,2020-05-21,0.9496394831551278,1.0105596460304478
91,2020-05-22,0.9278672489529973,0.9991848061143123
92,2020-05-25,0.9291436512035218,0.9984075848840228
93,2020-05-26,0.939685239809249,1.0231712963157489
94,2020-05-27,0.9330960138598081,1.023569877814243
95,2020-05-28,0.9357696047435936,1.0191136285376665
96,2020-05-29,0.93829083536431,1.0278326917109029
97,2020-06-01,0.9636021875900791,1.0576854453042257
98,2020-06-02,0.9665690660564676,1.0688391002254316
99,2020-06-03,0.9665884961366724,1.0750339307259216
100,2020-06-04,0.9662336009826885,1.0839882537444727
101,2020-06-05,0.9708597372129046,1.090567469896701
102,2020-06-08,0.9758833015165774,1.0885523459472983
103,2020-06-09,0.9819673453806944,1.0971512275413644
