date,account,cash,value,commission,daily_return,cumulative_return,benchmark_return
2020-01-02,100000000.0,100000000.0,0.0,0.0,0.0,1.0,1.0074956273433833
2020-01-03,100502672.22265905,3863269.6244091373,96639402.59824991,9612.711766382456,0.005026722226590508,1.0050267222265905,1.0057300965189235
2020-01-06,100994484.97740169,4146848.025084927,96847636.95231676,30137.004156562092,0.0048935291357532495,1.0099448497740169,1.0019281985081254
2020-01-07,102269513.09673059,4053570.8945082435,98215942.20222235,23222.45021731973,0.012624730148524499,1.022695130967306,1.0094335408916109
2020-01-08,101033341.75881322,4106115.8633726435,96927225.89544058,27013.43246987462,-0.012087388513800312,1.0103334175881322,0.9978086660764188
2020-01-09,102110199.25570911,4046429.9988908116,98063769.2568183,29193.006644153596,0.010658436889740441,1.021101992557091,1.010438573637812
2020-01-10,101703548.32160431,4146240.024327822,97557308.2972765,23449.71946942091,-0.0039824712621160385,1.0170354832160429,1.0101510321460014
2020-01-13,101962322.77682675,4040864.1017521815,97921458.67507458,19649.005857150554,0.002544399477628412,1.0196232277682673,1.0200516058191196
2020-01-14,101935156.87442234,4113331.9365542224,97821824.93786812,20409.705488311054,-0.00026643079192956165,1.0193515687442232,1.0166300160855
2020-01-15,100939590.92783616,4076846.164437994,96862744.76339817,25545.088894400596,-0.009766659287262947,1.0093959092783613,1.011012353384347
2020-01-16,100339641.3362222,4017973.0679230965,96321668.2682991,31188.475419220926,-0.0059436499207023985,1.0033964133622217,1.0067198458483784
2020-01-17,100011862.60918452,4033996.727699778,95977865.88148475,24839.430130485296,-0.003266692233225621,1.0001186260918449,1.008129592948113
2020-01-20,100444873.58911142,3961844.1509018913,96483029.43820953,26822.46724931717,0.004329596196192886,1.0044487358911138,1.0156458351326891
2020-01-21,99606337.44113016,4241337.99579907,95364999.4453311,31318.095295972824,-0.008348222443003372,0.9960633744113012,0.9982918116073641
2020-01-22,99464230.45023304,3950526.3550124806,95513704.09522057,31842.500900671483,-0.0014266862385248213,0.99464230450233,1.0025678509655982
2020-01-23,96839116.41438307,4042427.634218346,92796688.78016472,30081.265538173913,-0.026392543570358695,0.9683911641438303,0.9715027070011438
2020-02-03,88828336.25716846,3777121.8296615337,85051214.42750692,52142.09494615495,-0.08272256556881186,0.8882833625716843,0.8949394237630593
2020-02-04,87965442.08610487,4321052.976850986,83644389.10925388,65178.310064954756,-0.009714176887940407,0.8796544208610484,0.9185433576908347
2020-02-05,90935014.58599672,3419651.167775241,87515363.41822147,53596.946028158665,0.0337583990879633,0.9093501458599669,0.9289501797341659
2020-02-06,93159862.82122774,3867018.590814302,89292844.23041344,29987.256521589756,0.024466353751194436,0.9315986282122771,0.9462376789300093
2020-02-07,94089377.72957462,3803201.331851657,90286176.39772296,27176.110461013915,0.009977632858161334,0.940893777295746,0.9462604855790302
2020-02-10,96595578.89772631,3790361.7982266257,92805217.09949969,20709.758935353755,0.026636387960337515,0.9659557889772629,0.9501757059783397
2020-02-11,96956081.59689476,3961889.804347049,92994191.7925477,26476.501755018235,0.003732082806296333,0.9695608159689473,0.9590221385622998
2020-02-12,98130273.85597655,3869903.1556768073,94260370.70029974,17874.382308512926,0.012110558097465418,0.9813027385597652,0.9667787687513605
2020-02-13,96909482.25150032,3895763.5931007233,93013718.6583996,20837.167816432713,-0.012440519693932117,0.969094822515003,0.9608307354486769
2020-02-14,96915658.62030907,3871829.1105262735,93043829.50978279,26660.057592368124,6.373337949239222e-05,0.9691565862030904,0.9675799633695599
2020-02-17,100001467.89154087,4048367.775287974,95953100.1162529,21440.236529197693,0.03184015168612975,1.0000146789154085,0.9893423048174397
2020-02-18,101234254.33450222,4103622.518448833,97130631.81605339,30665.080640686752,0.012327683472590723,1.0123425433450222,0.9845103756035913
2020-02-19,101174063.81404671,4115640.268137776,97058423.54590893,26210.319091978075,-0.0005945667388098652,1.011740638140467,0.9830060253389571
2020-02-20,103007598.36896914,4074755.410793001,98932842.95817614,22752.621215716004,0.018122574954509973,1.0300759836896913,1.0056553381005746
2020-02-21,103457292.60108663,4114998.4307546983,99342294.17033194,30149.27512467265,0.004365641362753747,1.0345729260108663,1.006828369954888
2020-02-24,103434559.54369535,4166232.8577481853,99268326.68594716,24972.543388245107,-0.00021973373572548027,1.0343455954369534,1.0027878610810874
2020-02-25,102196324.97100417,4148075.005837133,98048249.96516705,28737.54767226577,-0.011971188142084088,1.0219632497100417,1.0006080193390907
2020-02-26,103581206.32136934,4221567.218481224,99359639.1028881,29306.177267575265,0.013551185434095503,1.0358120632136933,0.9882724656451897
2020-02-27,104078997.66447881,4187635.370842016,99891362.2936368,28230.50299418092,0.004805807547413998,1.0407899766447881,0.991150190847224
2020-02-28,99476074.50125931,4057662.951309665,95418411.54994965,22216.52167062342,-0.044225283356955636,0.9947607450125932,0.9560095283217709
2020-03-02,103431770.65582193,4052864.604573626,99378906.05124831,36500.28558571995,0.039765302102995115,1.0343177065582194,0.9874598973215044
2020-03-03,104790452.0011439,4395555.754960983,100394896.24618292,34692.32526201129,0.013136015527019262,1.0479045200114392,0.9927239681057604
2020-03-04,107024321.72643447,4155845.0367739177,102868476.68966055,13709.796735020876,0.021317492983675468,1.0702432172643448,0.998472250705851
2020-03-05,109540606.9241314,4318364.531370877,105222242.39276052,28977.486785387995,0.023511339825435407,1.0954060692413141,1.0207157828290458
2020-03-06,109431247.8646515,4383770.240682188,105047477.62396932,25030.975535554884,-0.000998342647084649,1.0943124786465153,1.0041633685882663
2020-03-09,106611524.91041026,4311875.328709702,102299649.58170055,23680.97806949437,-0.025767073018565734,1.0661152491041028,0.9698604505574954
2020-03-10,108501561.11986381,4376639.686266008,104124921.4335978,27445.04207232237,0.01772825415490331,1.0850156111986384,0.9906300807734499
2020-03-11,108702052.69467512,4440408.176657369,104261644.51801775,21501.7274624151,0.0018478220289366298,1.0870205269467514,0.9774541761106927
2020-03-12,107123283.84027006,4431645.560420771,102691638.27984929,21715.474487937092,-0.014523818228525442,1.0712328384027008,0.9586453253300359
2020-03-13,106335424.60007161,4537121.322418158,101798303.27765346,24304.0649059701,-0.007354696495051605,1.0633542460007162,0.9451549851010381
2020-03-16,103627114.1356627,4169072.6218978497,99458041.51376486,28914.551302700045,-0.025469503456584497,1.036271141356627,0.9045195195888974
2020-03-17,102647066.21836184,4008513.3219456454,98638552.89641619,50856.678808135395,-0.009457446783839196,1.0264706621836184,0.9001137489024671
2020-03-18,100776454.61610237,4151156.113114748,96625298.50298762,37100.280804234746,-0.018223722032932765,1.0077645461610236,0.882297846305933
2020-03-19,100908962.38425995,4022482.597828169,96886479.78643179,29514.411010887623,0.001314868325764884,1.0090896238425995,0.8708540029697219
2020-03-20,102560162.6443436,4102305.8963467903,98457856.7479968,24999.154646434785,0.016363266662042353,1.025601626443436,0.8864147722634659
2020-03-23,98296932.17922547,4126330.009151484,94170602.17007399,29616.81120799661,-0.04156809384070581,0.9829693217922547,0.8565900730535474
2020-03-24,100009096.85094292,3728595.715188337,96280501.13575459,47449.74222350359,0.017418292043902772,1.0000909685094292,0.8795943402071983
2020-03-25,103280642.49831213,4156175.6054736534,99124466.89283848,26923.29960030675,0.03271248066808585,1.0328064249831213,0.9032282485879725
2020-03-26,102020393.49338347,4161371.603637285,97859021.88974619,37420.708398394585,-0.012202180141833052,1.0202039349338345,0.8972906411819842
2020-03-27,101515057.70407484,4018624.8697953117,97496432.83427954,28452.01519495964,-0.0049532821037531205,1.0151505770407483,0.9002055678790447
2020-03-30,98750738.57158238,4142747.8710215786,94607990.7005608,24487.01483359337,-0.027230631543851302,0.9875073857158236,0.8914827651041923
2020-03-31,97874295.77196604,3696933.915863096,94177361.85610294,39688.873464375734,-0.008875303742473029,0.9787429577196602,0.8944051557954779
2020-04-01,98371261.41518173,4047743.856010996,94323517.55917072,17424.499046314955,0.0050775909986984225,0.9837126141518171,0.89171687387544
2020-04-02,101697365.3678849,4075716.2896766993,97621649.07820821,21829.777177864315,0.03381174445517332,1.016973653678849,0.9061429383328354
2020-04-03,101199484.65138225,4243345.969648642,96956138.68173361,40254.993206251864,-0.0048957090943466675,1.0119948465138224,0.9009717528100459
2020-04-07,104372207.46433753,3895776.802456563,100476430.66188097,21934.994990911484,0.03135117559031908,1.0437220746433753,0.9215483262229904
2020-04-08,105398906.20608582,4421733.095696106,100977173.11038971,37211.05004316807,0.009836897836036362,1.053989062060858,0.9172591952558381
2020-04-09,106260342.76407067,4235790.770366833,102024551.99370384,23666.94790073991,0.008173107188612638,1.0626034276407068,0.9202839492964952
2020-04-10,104154963.4288678,4262384.3109617075,99892579.1179061,19742.43552892685,-0.01981340621004246,1.041549634288678,0.9145498245902122
2020-04-13,102712382.8664952,4249986.184101654,98462396.68239355,34361.07039014101,-0.013850329498294123,1.0271238286649522,0.9106866151982801
2020-04-14,105266590.42816283,4109000.533164748,101157589.89499807,28836.994652086498,0.024867571858278925,1.0526659042816284,0.9282640254079105
2020-04-15,104834026.27763468,4259366.932156867,100574659.34547782,33103.60454720199,-0.004109225432007757,1.048340262776347,0.9213883834895976
2020-04-16,105263542.91445518,4196681.604247327,101066861.31020784,27845.868377038838,0.004097110948338534,1.052635429144552,0.9226060215951127
2020-04-17,105421460.48946716,4349759.804478646,101071700.68498851,24705.39471077919,0.001500211475309321,1.054214604894672,0.9316094942480448
2020-04-20,105814682.50237845,4250477.627231101,101564204.87514734,24916.61455228746,0.003729999670708306,1.0581468250237849,0.93499868076864
2020-04-21,105069035.5206954,4261120.157145219,100807915.36355019,24382.79947902739,-0.007046725124051578,1.0506903552069544,0.9239809959598468
2020-04-22,105947987.38310586,4240687.092306719,101707300.29079914,25447.57576806903,0.008365469979376927,1.0594798738310591,0.9315843180770478
2020-04-23,105195992.61242032,4367845.667092798,100828146.94532752,23396.07464443386,-0.0070977730607221234,1.0519599261242039,0.9292474955041284
2020-04-24,103296382.81202662,4197360.846916307,99099021.96511032,24336.8177009958,-0.018057815257207954,1.0329638281202669,0.9212937210866488
2020-04-27,102459343.66758549,4064469.9545511035,98394873.71303439,90666.82334808052,-0.008103276432867235,1.0245934366758556,0.9275530503389544
2020-04-28,99920709.53099611,4458876.2006986365,95461833.33029747,91531.99268190443,-0.024776990030558887,0.9992070953099618,0.9339532476727447
2020-04-29,100051333.47526816,4095706.4423683016,95955627.03289986,35321.94317432642,0.0013072759879824147,1.0005133347526822,0.9382929679340887
2020-04-30,102913076.22287501,4016507.7096842653,98896568.51319075,24379.19926441431,0.02860274469319557,1.0291307622287509,0.9493440037646969
2020-05-06,104443188.98401952,4215296.547693964,100227892.43632555,29625.173528331517,0.014868011114844037,1.0444318898401959,0.9550889097959714
2020-05-07,103859986.49449493,4376967.42167618,99483019.07281876,25927.091639738082,-0.00558392074387748,1.03859986494495,0.9523326818332662
2020-05-08,105057506.18976152,4252038.403646109,100805467.78611541,17170.729986333252,0.011530135287761256,1.0505750618976157,0.9617293766581473
2020-05-11,104745057.11683086,4377089.391732726,100367967.72509813,19790.89778406441,-0.0029740766201541424,1.047450571168309,0.9608944163517871
2020-05-12,103916675.8410162,4177146.3749295794,99739529.46608663,17660.663890732525,-0.007908547654813858,1.0391667584101625,0.9609083372933972
2020-05-13,104259641.44908313,4197150.718308729,100062490.7307744,19465.18311439872,0.0033003904839261633,1.0425964144908317,0.9628531224553558
2020-05-14,103589944.4418726,4184917.9028568314,99405026.53901577,15913.661964210272,-0.006423358050177019,1.0358994444187264,0.9524111130106782
2020-05-15,103234110.43420272,4192310.45735316,99041799.97684956,19962.379212592245,-0.0034350246019250186,1.0323411043420276,0.9494019385770146
2020-05-18,102029323.97773878,4223039.596837918,97806284.38090086,18585.417119855287,-0.011670429971223695,1.0202932397773883,0.9518515503960007
2020-05-19,102368312.14016913,4116821.5073370715,98251490.63283205,20531.17828150213,0.003322458183730559,1.0236831214016917,0.9599406245183209
2020-05-20,101626577.50785667,4225990.192499935,97400587.31535673,21659.063111951353,-0.007245744477029525,1.016265775078567,0.9548385105611374
2020-05-21,101055964.60304475,4160537.2863016054,96895427.31674314,19630.81532223344,-0.005614799974620888,1.0105596460304478,0.9496394831551278
2020-05-22,99918480.6114312,4053303.022753783,95865177.5886774,20413.627424392103,-0.011255980743755889,0.9991848061143123,0.9278672489529973
2020-05-25,99840758.48840225,4008494.6149801016,95832263.87342215,21279.787637900114,-0.0007778553332010718,0.9984075848840228,0.9291436512035218
2020-05-26,102317129.63157485,4053025.5223233756,98264104.10925148,18552.94332657814,0.02480320843576389,1.0231712963157489,0.939685239809249
2020-05-27,102356987.78142427,4119123.311252357,98237864.47017191,18658.673454289437,0.00038955500406379073,1.023569877814243,0.9330960138598081
2020-05-28,101911362.85376662,4137467.011250188,97773895.84251644,12242.054045032859,-0.004353634640062332,1.0191136285376665,0.9357696047435936
2020-05-29,102783269.17109026,4124357.4668301498,98658911.70426011,18964.913105773925,0.008555535839263939,1.0278326917109029,0.93829083536431
2020-06-01,105768544.53042255,4136294.038863045,101632250.4915595,17412.87655260086,0.02904437058100462,1.0576854453042257,0.9636021875900791
2020-06-02,106883910.02254315,4288985.299740515,102594924.72280264,23014.1023544091,0.010545342162667115,1.0688391002254316,0.9665690660564676
2020-06-03,107503393.07259214,4345343.199532151,103158049.87305999,14573.281013327241,0.005795849439998335,1.0750339307259216,0.9665884961366724
2020-06-04,108398825.37444726,4421702.847438,103977122.52700925,17794.52585576713,0.00832933990511786,1.0839882537444727,0.9662336009826885
2020-06-05,109056746.98967007,4303991.430005096,104752755.55966496,21496.738400333525,0.006069453363079624,1.090567469896701,0.9708597372129046
2020-06-08,108855234.59472981,4421886.025044585,104433348.56968522,23813.455563176274,-0.00184777558933924,1.0885523459472983,0.9758833015165774
2020-06-09,109715122.75413643,4399634.171763743,105315488.58237268,21585.161989508866,0.007899373535944276,1.0971512275413644,0.9819673453806944
2020-06-10,109025366.40206406,4422559.034584251,104602807.3674798,21534.145956634282,-0.006286793787015688,1.0902536640206406,0.9801902038985513
2020-06-11,108859389.83394176,4386237.6009312235,104473152.23301053,19038.21404137969,-0.0015223665244123996,1.0885938983394177,0.9695576256489384
2020-06-12,108975541.11240894,4390823.576186001,104584717.53622293,23058.32594513178,0.0010669844709250143,1.0897554111240895,0.971304259535638
2020-06-15,108482267.4214161,4480900.612477131,104001366.80893898,26325.984883553385,-0.004526462414937815,1.0848226742141611,0.959634600755096
2020-06-16,109606998.16941106,4354819.1049763,105252179.06443477,28770.61523477018,0.010367876471698123,1.0960699816941109,0.9740915282362314
2020-06-17,109951369.44470744,4373095.806613963,105578273.63809347,28334.166714985968,0.0031418730651131543,1.0995136944470747,0.9748251914781095
2020-06-18,110736437.01460929,4470287.452465017,106266149.56214428,21683.50957401037,0.007140134532809483,1.1073643701460931,0.9813255603534431
2020-06-19,110624216.2691901,4411459.430033945,106212756.83915615,23100.19411916256,-0.0010134039747403678,1.1062421626919012,0.9945069741547949
2020-06-22,110139276.40814686,4502755.468248383,105636520.93989848,24183.092053642275,-0.0043836682183872044,1.101392764081469,0.9953165213379604
2020-06-23,109795649.04822361,4465369.168284052,105330279.87993956,23598.19382679999,-0.003119934787385481,1.0979564904822365,1.0001082871543123
2020-06-24,110025368.3118361,4442191.669596996,105583176.6422391,22859.154427809717,0.0020922437783630343,1.1002536831183614,1.0042804229738904
2020-06-29,109455303.27372311,4413910.200998768,105041393.07272434,21646.41763387442,-0.005181214540425749,1.0945530327372315,0.9971776623741596
2020-06-30,109882212.70977105,4323572.802613635,105558639.90715742,26757.180356140136,0.003900308375011541,1.0988221270977108,1.0103402384758007
2020-07-01,110448996.78867517,4390183.590454449,106058813.19822073,24128.14423827231,0.005158105801902124,1.104489967886752,1.030678201025743
2020-07-02,111813667.37620428,4502423.287667779,107311244.0885365,23809.642170496583,0.012355663040925169,1.1181366737620428,1.0520452469699448
2020-07-03,113333249.86664872,4448796.089740797,108884453.77690792,33660.829287501576,0.013590310792076066,1.1333324986664872,1.0723665043899548
2020-07-06,116629230.42118011,4738382.277685987,111890848.14349413,31310.327561338545,0.029082202781703925,1.1662923042118012,1.133147349553423
2020-07-07,116398941.71949649,4745135.454070799,111653806.26542568,32977.91969213963,-0.001974536750795619,1.163989417194965,1.13994894390998
2020-07-08,117988274.32269968,4785891.302841089,113202383.0198586,20898.24805363119,0.01365418430550025,1.179882743226997,1.158359892712785
2020-07-09,120239169.64959383,4745689.596997502,115493480.05259633,30832.646799455284,0.019077279838316086,1.2023916964959385,1.174560077511804
2020-07-10,119631681.11155611,4869075.19420368,114762605.91735244,27990.583955231905,-0.005052334774167888,1.1963168111155613,1.1532957503452699
2020-07-13,122678601.79412945,4860135.652702884,117818466.14142656,27893.514728533624,0.025469178851813323,1.2267860179412946,1.1775179517946828
2020-07-14,123239307.70591503,4869407.436913333,118369900.2690017,37158.27178932667,0.004570527407269598,1.2323930770591505,1.1662908012431943
2020-07-15,121462590.86659467,4950601.8742135735,116511988.9923811,29627.582664222122,-0.01441680314823035,1.2146259086659468,1.1511933919718946
