date,backtest_return,index_return,hedge_return,position_ratio,cash,total_value,net_value
2019-01-02,0,0,0.13234601999999998,0.0969,90334382.53,100021572.53,100021572.53
2019-01-03,0,0,-0.12901580639871413,0.1959,80303894.59,99862705.59,99862705.59
2019-01-04,0,0,0.25496736349288973,0.3032,70268567.15,100839711.15,100839711.15
2019-01-07,0,0,0.6250742755652658,0.4079,60229207.32,101716780.32,101716780.32
2019-01-08,0,0,0.2465471172630587,0.504,50527038.2,101862396.2,101862396.2
2019-01-09,0,0,-0.5014635593088491,0.6036,40423513.95,101973528.95,101973528.95
2019-01-10,0,0,0.02360703484356791,0.699,30655836.28,101860536.28,101860536.28
2019-01-11,0,0,0.023301682014531755,0.8005,20442133.01,102473228.01,102473228.01
2019-01-14,0,0,0.32325646951303755,0.8965,10558484.74,102003794.74,102003794.74
2019-01-15,0,0,-1.0825267401960808,0.9013,10135153.79,102702295.79,102702295.79
2019-01-16,0,0,-0.3111008403407838,0.8999,10251538.09,102404981.09,102404981.09
2019-01-17,0,0,-0.24984817000000226,0.8937,10809482.93,101644863.93,101644863.93
2019-01-18,0,0,-0.910801461031093,0.8984,10399206.51,102380705.51,102380705.51
2019-01-21,0,0,0.05161839238914839,0.8987,10425835.42,102943198.42,102943198.42
2019-01-22,0,0,0.11166560557216809,0.9031,9870061.03,101815361.03,101815361.03
2019-01-23,0,0,0.1436796255352406,0.9043,9748367.15,101901941.15,101901941.15
2019-01-24,0,0,-0.007920842865553612,0.9008,10159361.72,102409276.72,102409276.72
2019-01-25,0,0,-1.2234476909403442,0.9041,9776519.31,101906412.31,101906412.31
2019-01-28,0,0,-0.5791480333598255,0.8949,10651920.41,101303978.41,101303978.41
2019-01-29,0,0,-1.4826899057453058,0.9004,9965467.35,100091552.35,100091552.35
2019-01-30,0,0,-0.3563600740133769,0.9056,9348566.52,99013172.52,99013172.52
2019-01-31,0,0,-2.2281015072012926,0.894,10362700.09,97733307.09,97733307.09
2019-02-01,0,0,1.5291302416289703,0.8988,10171762.79,100478325.79,100478325.79
2019-02-11,0,0,1.2528687368152895,0.8978,10564680.87,103384039.87,103384039.87
2019-02-12,0,0,1.1191949110853183,0.902,10311004.5,105208922.5,105208922.5
2019-02-13,0,0,-0.1904366330025804,0.9067,9979462.3,106915251.3,106915251.3
2019-02-14,0,0,0.5656478347923732,0.9024,10504017.85,107669728.85,107669728.85
2019-02-15,0,0,1.7120049963072423,0.9082,9884523.29,107685841.29,107685841.29
2019-02-18,0,0,0.5981228495496405,0.8938,11827869.43,111417879.43,111417879.43
2019-02-19,0,0,0.7517527579429125,0.895,11767567.19,112082377.19,112082377.19
2019-02-20,0,0,-0.04747538867952178,0.9047,10714329.6,112392717.6,112392717.6
2019-02-21,0,0,-0.12879157889135745,0.8836,13036496.44,111983631.44,111983631.44
2019-02-22,0,0,-0.026916319457019,0.8976,11699821.95,114210917.95,114210917.95
2019-02-25,0,0,-0.3304350314718567,0.8932,12804703.56,119898698.56,119898698.56
2019-02-26,0,0,1.2420609713928223,0.8953,12573781.93,120103036.93,120103036.93
2019-02-27,0,0,0.45525760815986577,0.9094,10915887.35,120459689.35,120459689.35
2019-02-28,0,0,0.6704007372488776,0.9055,11440128.74,121004660.74,121004660.74
2019-03-01,0,0,-1.523269317024781,0.9146,10383350.74,121579521.74,121579521.74
2019-03-04,0,0,0.5905351795459819,0.8977,12646123.06,123593052.06,123593052.06
2019-03-05,0,0,2.6474591323933936,0.8939,13524011.84,127503496.84,127503496.84
2019-03-06,0,0,1.854215985882358,0.9012,12922478.85,130826443.85,130826443.85
2019-03-07,0,0,3.3019815548956593,0.877,16477931.64,133978265.64,133978265.64
2019-03-08,0,0,-1.3951914955187266,0.8928,13652446.49,127359305.49,127359305.49
2019-03-11,0,0,2.678150916180898,0.8964,13775984.1,133026560.1,133026560.1
2019-03-12,0,0,1.2197013815845958,0.8914,14713545.98,135464703.98,135464703.98
2019-03-13,0,0,-0.7945823833633454,0.9108,11898672.88,133364090.88,133364090.88
2019-03-14,0,0,-1.838557478680277,0.9104,11650857.87,130067167.87,130067167.87
2019-03-15,0,0,0.7866415053063742,0.9088,12086878.7,132580409.7,132580409.7
2019-03-18,0,0,-0.11705520177553908,0.9011,13432322.69,135827477.69,135827477.69
2019-03-19,0,0,0.6070380802635563,0.9002,13578773.87,136089226.87,136089226.87
2019-03-20,0,0,0.42105406560364417,0.8968,14102205.69,136710943.69,136710943.69
2019-03-21,0,0,0.9834111863360514,0.882,16289919.87,138095654.87,138095654.87
2019-03-22,0,0,0.8608959281679947,0.8896,15371491.43,139194779.43,139194779.43
2019-03-25,0,0,1.5779906390329876,0.8981,14104962.03,138421701.03,138421701.03
2019-03-26,0,0,-1.804014059781828,0.9013,13272054.64,134510087.64,134510087.64
2019-03-27,0,0,-0.46139468039550824,0.91,12180913.84,135313683.84,135313683.84
2019-03-28,0,0,-0.803234010420514,0.91,12035543.63,133727877.63,133727877.63
2019-03-29,0,0,-0.8191218068286799,0.9133,11901729.3,137351584.3,137351584.3
2019-04-01,0,0,0.7874022931197522,0.896,14739008.7,141656637.7,141656637.7
2019-04-02,0,0,0.377837857623909,0.9049,13513592.74,142110544.74,142110544.74
2019-04-03,0,0,0.3163826176834812,0.9011,14261081.91,144198372.91,144198372.91
2019-04-04,0,0,-0.1962749667545146,0.8861,16535605.58,145194566.58,145194566.58
2019-04-08,0,0,0.17143595020249597,0.8891,16114735.27,145280240.27,145280240.27
2019-04-09,0,0,-0.24304744202643846,0.8947,15315531.96,145512359.96,145512359.96
2019-04-10,0,0,0.01182241668063394,0.8948,15349859.91,145859466.91,145859466.91
2019-04-11,0,0,0.5270340353544436,0.9072,13344556.31,143771676.31,143771676.31
2019-04-12,0,0,0.23884461004938787,0.9102,12909642.55,143822299.55,143822299.55
2019-04-15,0,0,-0.5159707761201477,0.9066,13321576.32,142647868.32,142647868.32
2019-04-16,0,0,-0.7065052763266655,0.8967,14993337.07,145186566.87,145186566.87
2019-04-17,0,0,1.200736227360694,0.9051,13942150.44,146980285.64,146980285.64
2019-04-18,0,0,-0.3106656416927467,0.9048,13897523.54,146025562.34,146025562.34
2019-04-19,0,0,-0.14766582077244217,0.8881,16491023.7,147359881.9,147359881.9
2019-04-22,0,0,0.710664075656894,0.8852,16695353.25,145400168.45,145400168.45
2019-04-23,0,0,-1.1251380220495146,0.8971,14766425.27,143551574.57,143551574.57
2019-04-24,0,0,0.39438163537444426,0.8938,15347493.2,144465115.0,144465115.0
2019-04-25,0,0,-1.818754047370394,0.9204,11061782.4,138933382.6,138933382.6
2019-04-26,0,0,-0.19664358897646572,0.9055,12948647.98,136975516.78,136975516.78
2019-04-29,0,0,-3.253897644333469,0.9172,11002596.72,132884173.72,132884173.72
2019-04-30,0,0,1.194933465165565,0.8938,14318871.45,134861299.45,134861299.45
2019-05-06,0,0,-1.0332767041376174,0.93,8833507.12,126137961.12,126137961.12
2019-05-07,0,0,0.5111875324052482,0.8874,14400418.58,127875345.58,127875345.58
2019-05-08,0,0,1.3927579374663817,0.8864,14544809.72,128043419.72,128043419.72
2019-05-09,0,0,0.9148998485629547,0.8799,15263151.33,127133660.33,127133660.33
2019-05-10,0,0,0.03934480095336568,0.9052,12453052.72,131358796.72,131358796.72
2019-05-13,0,0,0.7866251194397016,0.8941,13814194.17,130454051.17,130454051.17
2019-05-14,0,0,-0.15703346800306606,0.9247,9744370.63,129466613.83,129466613.83
2019-05-15,0,0,0.0379934099328052,0.8936,14063278.67,132115543.07,132115543.07
2019-05-16,0,0,0.6009596583439318,0.9129,11627938.41,133464248.41,133464248.41
2019-05-17,0,0,-1.8455332492791756,0.8949,13445458.15,127955159.15,127955159.15
2019-05-20,0,0,0.575062501425436,0.9262,9418586.2,127691765.2,127691765.2
2019-05-21,0,0,0.4996489029211353,0.8861,14793529.03,129862970.03,129862970.03
2019-05-22,0,0,-0.42840807115354607,0.8825,15133809.53,128761471.53,128761471.53
2019-05-23,0,0,-1.0067731707051943,0.8898,13814775.58,125410312.58,125410312.58
2019-05-24,0,0,-0.9305594517949123,0.9106,11136517.0,124561598.0,124561598.0
2019-05-27,0,0,1.7931777619845646,0.8909,13979589.67,128128230.67,128128230.67
2019-05-28,0,0,-0.8383211856395771,0.9263,9446966.39,128196788.39,128196788.39
2019-05-29,0,0,0.3431327162246592,0.8915,13925706.16,128375193.16,128375193.16
2019-05-30,0,0,-0.563373637354739,0.9126,11095987.77,126932999.11,126932999.11
2019-05-31,0,0,0.34166431520129886,0.8905,13905175.33,127008061.33,127008061.33
2019-06-03,0,0,-2.387423815499574,0.9282,8911328.61,124047996.61,124047996.61
2019-06-04,0,0,-1.014394441064085,0.8917,13192060.31,121772642.31,121772642.31
2019-06-05,0,0,0.049665726668313905,0.8794,14684014.8,121789826.3,121789826.3
2019-06-06,0,0,-1.9788910102430461,0.8925,12729585.41,118401208.41,118401208.41
2019-06-10,0,0,-0.049922363243236845,0.9144,10252319.01,119740125.41,119740125.41
2019-06-11,0,0,1.4376481623484203,0.8887,13875867.03,124664346.33,124664346.33
2019-06-12,0,0,0.16265290364190654,0.924,9425594.5,123990864.3,123990864.3
2019-06-13,0,0,1.4843105631300904,0.8895,13887210.61,125659141.61,125659141.61
2019-06-14,0,0,-2.0125028858188747,0.9141,10493030.81,122182989.51,122182989.51
2019-06-17,0,0,0.0586290192339202,0.891,13324267.8,122250685.7,122250685.7
2019-06-18,0,0,-0.34916487730061113,0.9275,8860410.93,122221009.63,122221009.63
2019-06-19,0,0,0.6424906948126266,0.8848,14332617.73,124426750.63,124426750.63
2019-06-20,0,0,-0.8190784716210082,0.8778,15491215.91,126722451.91,126722451.91
2019-06-21,0,0,2.1391233785858788,0.8878,14542434.37,129590894.97,129590894.97
2019-06-24,0,0,-0.3358741008596323,0.9096,11695790.03,129377029.63,129377029.63
2019-06-25,0,0,-0.11669206487866235,0.8835,14918317.76,128038544.16,128038544.16
2019-06-26,0,0,0.41161136004998555,0.9232,9856528.36,128349610.46,128349610.46
2019-06-27,0,0,-0.7676561972341222,0.8947,13536700.47,128585698.87,128585698.87
2019-06-28,0,0,-1.3758029890644674,0.9074,11712474.16,126537419.36,126537419.36
2019-07-01,0,0,0.3511063292239629,0.8875,14649904.88,130217220.28,130217220.28
2019-07-02,0,0,0.13689436254031004,0.929,9256770.91,130436958.91,130436958.91
2019-07-03,0,0,-0.06911333168047429,0.8853,14801355.08,129069501.08,129069501.08
2019-07-04,0,0,0.052558589243058396,0.8826,15087343.26,128541061.26,128541061.26
2019-07-05,0,0,-0.008872090322095627,0.8865,14652654.45,129122993.61,129122993.61
2019-07-08,0,0,-1.542070163890949,0.9134,10767002.53,124394793.17,124394793.17
2019-07-09,0,0,0.658679898271574,0.8841,14476089.53,124933818.41,124933818.41
2019-07-10,0,0,-0.3888298606939963,0.9227,9601389.29,124249207.17,124249207.17
2019-07-11,0,0,-0.09277887581488886,0.8976,12711076.18,124094833.82,124094833.82
2019-07-12,0,0,-0.22828973194857904,0.9125,10893785.4,124511863.4,124511863.4
2019-07-15,0,0,0.6834989639482634,0.8886,14014277.8,125813506.8,125813506.8
2019-07-16,0,0,1.001088044511582,0.928,9115824.87,126535219.87,126535219.87
2019-07-17,0,0,-0.07500203170539259,0.8869,14297070.1,126380211.1,126380211.1
2019-07-18,0,0,-1.1037317638170576,0.8849,14260348.14,123919875.14,123919875.14
2019-07-19,0,0,-0.18595673905745802,0.8845,14414474.23,124835401.23,124835401.23
2019-07-22,0,0,-2.5419745671034804,0.9133,10475444.76,120875094.36,120875094.36
2019-07-23,0,0,1.3305086678491054,0.8808,14628393.48,122722522.48,122722522.48
2019-07-24,0,0,0.3876673111081993,0.9231,9540730.72,124087276.12,124087276.12
2019-07-25,0,0,-0.655016249035378,0.8996,12464286.27,124193610.87,124193610.87
2019-07-26,0,0,-0.008756659602215583,0.913,10822453.67,124398077.47,124398077.47
2019-07-29,0,0,-0.15825582668810478,0.8885,13838099.91,124077409.61,124077409.61
2019-07-30,0,0,0.12951149047710825,0.9279,8995955.75,124715290.35,124715290.35
2019-07-31,0,0,-0.02057936355353751,0.8826,14518252.39,123697781.99,123697781.99
2019-08-01,0,0,0.17090694385609873,0.8861,14015003.32,122998063.92,122998063.92
2019-08-02,0,0,0.36128184910568284,0.8854,13957920.67,121844202.77,121844202.77
2019-08-05,0,0,0.9679104887065109,0.9085,11063323.97,120900499.07,120900499.07
2019-08-06,0,0,-1.6846756114474832,0.8908,12856784.72,117714340.52,117714340.52
2019-08-07,0,0,0.30977976054709405,0.922,9173431.66,117632715.26,117632715.26
2019-08-08,0,0,-0.8217724348142299,0.8984,11988803.49,118056625.89,118056625.89
2019-08-09,0,0,-0.3376056664120102,0.9137,10068107.7,116610110.4,116610110.4
2019-08-12,0,0,-0.23742994627989455,0.8871,13341152.66,118197393.06,118197393.06
2019-08-13,0,0,0.2476267979357133,0.9314,8056301.62,117500834.32,117500834.32
2019-08-14,0,0,-0.23089125404254407,0.8831,13757319.69,117702015.09,117702015.09
2019-08-15,0,0,0.2651063101104386,0.8846,13659907.01,118342418.31,118342418.31
2019-08-16,0,0,-0.21210028056448282,0.889,13155487.06,118561618.06,118561618.06
2019-08-19,0,0,1.0915907427800269,0.9036,11777443.23,122181648.23,122181648.23
2019-08-20,0,0,0.5700039962907287,0.8898,13533938.26,122780757.26,122780757.26
2019-08-21,0,0,0.5368945003502203,0.9255,9187810.5,123263899.5,123263899.5
2019-08-22,0,0,0.23080117685867385,0.9022,12111179.88,123887220.88,123887220.88
2019-08-23,0,0,-0.811384733256917,0.9124,10838909.77,123700082.77,123700082.77
2019-08-26,0,0,1.0081898456750082,0.8865,14008104.37,123372184.37,123372184.37
2019-08-27,0,0,0.6280206652768241,0.9302,8771437.66,125704212.66,125704212.66
2019-08-28,0,0,0.27511718361971615,0.8791,15190621.56,125630553.56,125630553.56
2019-08-29,0,0,-0.19599961381835734,0.8882,13981515.15,125023268.15,125023268.15
2019-08-30,0,0,-1.8355190813629867,0.8862,14000635.8,122996793.8,122996793.8
2019-09-02,0,0,1.3671395432520497,0.8991,12721234.39,126101709.39,126101709.39
2019-09-03,0,0,0.5517344498413933,0.8897,13999440.06,126945915.06,126945915.06
2019-09-04,0,0,0.048626182394650885,0.9262,9452277.65,127998357.65,127998357.65
2019-09-05,0,0,-0.4450968900000045,0.9031,12466091.62,128597049.62,128597049.62
2019-09-06,0,0,-0.2883171074649973,0.9095,11671954.13,128915779.13,128915779.13
2019-09-09,0,0,1.3768489960285413,0.8834,15324283.19,131398250.19,131398250.19
2019-09-10,0,0,0.4119606009132231,0.931,9076834.04,131522508.04,131522508.04
2019-09-11,0,0,0.10777687085158527,0.8792,15805273.91,130813781.91,130813781.91
2019-09-12,0,0,-0.2615813709991611,0.8898,14509725.3,131719089.3,131719089.3
2019-09-16,0,0,0.47216880896446844,0.8882,14752465.99,131905858.99,131905858.99
2019-09-17,0,0,-0.8177745514858537,0.8985,13077401.34,128839764.34,128839764.34
2019-09-18,0,0,-0.2303500369823056,0.8914,14018564.75,129100755.75,129100755.75
2019-09-19,0,0,0.4669023020371891,0.9261,9615363.6,130137472.6,130137472.6
2019-09-20,0,0,-0.22060145709852425,0.9022,12730506.54,130190969.54,130190969.54
2019-09-23,0,0,0.347780565335269,0.909,11769025.13,129286083.13,129286083.13
2019-09-24,0,0,-0.12737260669735262,0.8803,15496088.59,129428688.59,129428688.59
2019-09-25,0,0,-0.8886414598423835,0.9313,8745456.86,127353562.86,127353562.86
2019-09-26,0,0,-1.5007024455045141,0.8849,14336353.16,124570123.96,124570123.96
2019-09-27,0,0,0.7534046244392767,0.8876,14149662.16,125842358.96,125842358.96
2019-09-30,0,0,-0.28760395178638565,0.8898,13707171.2,124368542.6,124368542.6
2019-10-08,0,0,-0.1830512291018862,0.8978,12755702.83,124815411.63,124815411.63
2019-10-09,0,0,0.5756919719195693,0.8925,13509635.21,125704074.21,125704074.21
2019-10-10,0,0,0.34122832863961206,0.9261,9390996.15,127080241.15,127080241.15
2019-10-11,0,0,-0.40679754608750274,0.9018,12536873.12,127661016.32,127661016.32
2019-10-14,0,0,0.1915299989017597,0.9119,11372052.91,129135105.11,129135105.11
2019-10-15,0,0,-0.4050334090475505,0.8773,15722243.01,128127509.21,128127509.21
2019-10-16,0,0,-0.5222436358464004,0.9305,8828730.44,127047773.64,127047773.64
2019-10-17,0,0,-0.41904994024399383,0.8808,15085371.02,126585603.62,126585603.62
2019-10-18,0,0,0.22190163691996534,0.8889,13920508.86,125270316.26,125270316.26
2019-10-21,0,0,-0.48820152284184976,0.8936,13293830.7,124990844.9,124990844.9
2019-10-22,0,0,0.48574596532521797,0.8935,13425912.63,126027113.23,126027113.23
2019-10-23,0,0,0.2637601378203601,0.8881,14059628.34,125649132.54,125649132.54
2019-10-24,0,0,0.1691720240190951,0.9259,9330554.36,125845394.76,125845394.76
2019-10-25,0,0,-0.21772014634483683,0.8995,12698083.48,126342017.28,126342017.28
2019-10-28,0,0,0.6070173333940213,0.9143,10972283.14,127988082.74,127988082.74
2019-10-29,0,0,-1.151884977454496,0.8734,15951829.24,126048798.84,126048798.84
2019-10-30,0,0,-0.7524773962356106,0.9331,8324989.68,124525329.88,124525329.88
2019-10-31,0,0,-0.9748344327069816,0.8801,14770419.75,123187726.35,123187726.35
2019-11-01,0,0,-0.5504886650312482,0.8884,13876436.91,124361352.51,124361352.51
2019-11-04,0,0,-0.4780690596719276,0.8948,13098922.97,124488038.77,124488038.77
2019-11-05,0,0,-0.3969814056646972,0.8984,12667564.82,124692891.02,124692891.02
2019-11-06,0,0,-0.2593589246932421,0.889,13755143.01,123872222.61,123872222.61
2019-11-07,0,0,0.10291253131508224,0.9316,8492722.39,124196707.79,124196707.79
2019-11-08,0,0,0.21557488544283987,0.8991,12503452.27,123941112.27,123941112.27
2019-11-11,0,0,-0.6544918473374213,0.9195,9750564.6,121119100.8,121119100.8
2019-11-12,0,0,0.578566823355332,0.8728,15497395.61,121837517.81,121837517.81
2019-11-13,0,0,-0.06756371930400609,0.9303,8477349.01,121651186.41,121651186.41
2019-11-14,0,0,0.29544261586518533,0.876,15145596.69,122168171.69,122168171.69
2019-11-15,0,0,-0.5722386815871215,0.8901,13265340.37,120667357.77,120667357.77
2019-11-18,0,0,0.23483078383191536,0.8925,13099524.75,121814538.15,121814538.15
2019-11-19,0,0,0.693025162078659,0.8989,12511360.64,123754548.04,123754548.04
2019-11-20,0,0,0.8414322095959593,0.8885,13796278.43,123695507.83,123695507.83
2019-11-21,0,0,0.281692206903793,0.9313,8489923.97,123507116.57,123507116.57
2019-11-22,0,0,0.35741532212290017,0.8997,12319936.4,122820401.2,122820401.2
2019-11-25,0,0,-0.5623864501546822,0.923,9469234.09,122956499.89,122956499.89
2019-11-26,0,0,-0.43960798352635505,0.8692,16061765.67,122790536.87,122790536.87
2019-11-27,0,0,0.24590704366805022,0.9329,8225771.19,122620401.19,122620401.19
2019-11-28,0,0,0.13761319072255918,0.8752,15282319.16,122424940.16,122424940.16
2019-11-29,0,0,0.9620189977454726,0.889,13610940.83,122649147.23,122649147.23
2019-12-02,0,0,-0.01726294777821899,0.8921,13256335.14,122842512.34,122842512.34
2019-12-03,0,0,0.3873974420058675,0.902,12124097.51,123747991.51,123747991.51
2019-12-04,0,0,-0.019256488484864342,0.8884,13808810.05,123693491.85,123693491.85
2019-12-05,0,0,0.04198498719703525,0.9356,8023339.67,124628601.87,124628601.87
2019-12-06,0,0,-0.13168568495545685,0.898,12760610.31,125128029.71,125128029.71
2019-12-09,0,0,0.3239431728761834,0.923,9646784.74,125329308.74,125329308.74
2019-12-10,0,0,0.2644530536695267,0.8719,16117479.59,125800919.99,125800919.99
2019-12-11,0,0,-0.3268888502702786,0.9343,8241666.14,125461427.54,125461427.54
2019-12-12,0,0,-0.136194077098666,0.8733,15828178.53,124955885.33,124955885.33
2019-12-13,0,0,-0.8342885449423858,0.8884,14079166.35,126115946.95,126115946.95
2019-12-16,0,0,0.9354640264827163,0.8795,15402875.75,127838140.95,127838140.95
2019-12-17,0,0,0.17197411466834556,0.9027,12617780.49,129626954.49,129626954.49
2019-12-18,0,0,0.2597376693882445,0.8876,14583530.82,129710370.02,129710370.02
2019-12-19,0,0,0.8862069504263377,0.9354,8439424.82,130693420.22,130693420.22
2019-12-20,0,0,-0.2619428755757899,0.8955,13588546.18,130055480.18,130055480.18
2019-12-23,0,0,-0.5322218285099263,0.9224,9920314.47,127869841.07,127869841.07
2019-12-24,0,0,1.174067728062876,0.8742,16369077.1,130104662.1,130104662.1
2019-12-25,0,0,0.24818527209839178,0.9225,10098382.92,130358849.92,130358849.92
2019-12-26,0,0,-0.12615856152192373,0.8756,16318282.88,131195734.88,131195734.88
2019-12-27,0,0,-0.5071920351219545,0.8874,14687273.48,130419851.48,130419851.48
2019-12-30,0,0,-0.9339730172979617,0.8889,14543885.43,130916350.43,130916350.43
2019-12-31,0,0,0.22764622285364772,0.901,13034532.91,131645905.91,131645905.91
2020-01-02,0,0,0.43051992443222065,0.8907,14622083.78,133806904.78,133806904.78
2020-01-03,0,0,0.6273833068201163,0.9363,8567130.45,134434731.45,134434731.45
2020-01-06,0,0,1.0721823583128829,0.8882,15145795.04,135417431.04,135417431.04
2020-01-07,0,0,0.564608604370111,0.9221,10685916.12,137123488.12,137123488.12
2020-01-08,0,0,-0.2857992643173921,0.8854,15503896.98,135325673.98,135325673.98
2020-01-09,0,0,-0.07124503979456831,0.9261,10104870.52,136821627.52,136821627.52
2020-01-10,0,0,-0.3917224093919081,0.8731,17294708.39,136252145.39,136252145.39
2020-01-13,0,0,-0.5811612683486282,0.8925,14695287.75,136653872.75,136653872.75
2020-01-14,0,0,0.28195828878887336,0.8843,15812837.21,136628915.21,136628915.21
2020-01-15,0,0,-0.3432992936968518,0.9019,13295191.94,135477436.94,135477436.94
2020-01-16,0,0,-0.19058295189253466,0.8897,14851582.56,134707512.56,134707512.56
2020-01-17,0,0,-0.31630184678196704,0.9337,8911297.32,134464519.32,134464519.32
2020-01-20,0,0,-0.2995361544548618,0.8905,14774204.43,134951279.43,134951279.43
2020-01-21,0,0,0.3606690970692865,0.9223,10362980.08,133310849.08,133310849.08
2020-01-22,0,0,-0.5525607827837375,0.8873,15002621.4,133080669.4,133080669.4
2020-01-23,0,0,-0.020221589464981538,0.9223,10042977.98,129251227.98,129251227.98
2020-02-03,0,0,-0.6003740392649926,0.989,1307361.73,118399982.73,118399982.73
2020-02-04,0,0,-2.861191418918901,0.7838,25399232.44,117464290.44,117464290.44
2020-02-05,0,0,1.1388219307679242,0.8734,15189281.21,119958682.21,119958682.21
2020-02-06,0,0,0.3958439732243937,0.8937,13018698.71,122431041.71,122431041.71
2020-02-07,0,0,0.7166305572686337,0.8948,12974591.22,123307584.22,123307584.22
2020-02-10,0,0,1.7461398419349852,0.9345,8243700.22,125940139.22,125940139.22
2020-02-11,0,0,-0.7689778877878392,0.8942,13326971.02,126018148.02,126018148.02
2020-02-12,0,0,0.4363148876178484,0.9224,9898400.47,127514379.47,127514379.47
2020-02-13,0,0,-0.605384276803403,0.8899,13875331.55,126043740.55,126043740.55
2020-02-14,0,0,-0.5874390355315816,0.9154,10670520.43,126108721.43,126108721.43
2020-02-17,0,0,0.9107501166624448,0.9877,1604909.5,130055426.5,130055426.5
2020-02-18,0,0,1.8747690526526206,0.7845,28452574.61,132000810.61,132000810.61
2020-02-19,0,0,0.0581716242424154,0.8765,16288062.3,131901224.3,131901224.3
2020-02-20,0,0,-0.16769382683092182,0.8921,14502272.92,134393311.92,134393311.92
2020-02-21,0,0,0.41658504869706636,0.8944,14260042.6,135094314.6,135094314.6
2020-02-24,0,0,0.3162766305936724,0.9357,8687030.11,135009881.11,135009881.11
2020-02-25,0,0,-0.5899453076275635,0.8978,13682993.64,133948210.64,133948210.64
2020-02-26,0,0,2.2145050355207054,0.9243,10242895.9,135393933.9,135393933.9
2020-02-27,0,0,0.049911254633301594,0.8939,14416008.32,135814432.32,135814432.32
2020-02-28,0,0,-0.7714261535056406,0.9226,10082744.61,130321805.61,130321805.61
2020-03-02,0,0,1.01971672014733,0.9776,3047059.03,135837066.03,135837066.03
2020-03-03,0,0,0.4335964686101356,0.7885,28977287.28,136998009.28,136998009.28
2020-03-04,0,0,1.5511322605839317,0.8761,17322814.75,139815820.75,139815820.75
2020-03-05,0,0,0.2968468618752551,0.8909,15609051.95,143008999.95,143008999.95
2020-03-06,0,0,1.2495219378337246,0.8956,14896269.37,142716093.37,142716093.37
2020-03-09,0,0,0.3204379060089608,0.9368,8759305.17,138607178.17,138607178.17
2020-03-10,0,0,-0.23451542802105219,0.9012,13922339.01,140957070.01,140957070.01
2020-03-11,0,0,1.244796942247452,0.9252,10549799.47,140979306.47,140979306.47
2020-03-12,0,0,0.22594046092354003,0.8915,15073192.61,138882355.61,138882355.61
2020-03-13,0,0,1.234745052534553,0.9235,10611866.95,138786255.95,138786255.95
2020-03-16,0,0,1.6634541414331103,0.9785,2905884.23,135260530.23,135260530.23
2020-03-17,0,0,0.23343850575780356,0.7828,29335149.24,135061304.24,135061304.24
2020-03-18,0,0,-0.36632924964163593,0.8773,16220615.37,132217383.37,132217383.37
