date,daily_return,cumulative_return
20090105,0.0,0
20090106,1.2399999999999967,1.24
20090107,0.3753457131568494,1.62
20090108,-1.2989568982483823,0.3
20090109,2.512462612163513,2.82
20090112,1.4977630811126241,4.36
20090113,-2.318896128784975,1.94
20090114,3.1685305081420534,5.17
20090115,0.9793667395645134,6.2
20090116,0.5649717514124353,6.8
20090119,-0.3370786516853963,6.44
20090120,1.1180007515971369,7.63
20090121,0.15794852736226161,7.8
20090122,0.8998144712430323,8.77
20090123,-0.2666176335386461,8.48
20090202,2.8115781710914334,11.53
20090203,2.824352192235291,14.68
20090204,1.7091035926054987,16.64
20090205,-1.6546639231824312,14.71
20090206,4.402406067474507,19.76
20090209,2.120908483633932,22.3
20090210,2.3303352412101352,25.15
20090211,0.3435876947662786,25.58
20090212,1.0511227902532116,26.9
20090213,3.585500394011043,31.45
20090216,1.749714720426021,33.75
20090217,-3.700934579439241,28.8
20090218,-3.0124223602484457,24.92
20090219,2.0172910662824117,27.44
20090220,3.185812931575649,31.5
20090223,3.262357414448669,35.79
20090224,-3.3581265188894482,31.23
20090225,0.22098605501790214,31.52
20090226,-7.314476885644772,21.9
20090227,-5.3732567678424825,15.35
20090302,2.019939315127872,17.68
20090303,1.9799456152277184,20.01
20090304,6.0411632363969625,27.26
20090305,0.9665252239509758,28.49
20090306,0.24126391158845184,28.8
20090309,-3.3074534161490643,24.54
20090310,2.3526577806327165,27.47
20090311,-1.4356319133913886,25.64
20090312,0.22285896211398093,25.92
20090313,-1.294472681067338,24.29
20090316,1.520637219406229,26.18
20090317,3.0353463306387773,30.01
20090318,0.9306976386431742,31.22
20090319,1.48605395518977,33.17
20090320,-0.585717503942329,32.39
20090323,1.7448447767958175,34.7
20090324,0.3489235337787777,35.17
20090325,-1.5535991714137887,33.07
20090326,1.8035620350191683,35.47
20090327,0.5757732339263244,36.25
20090330,0.6018348623853198,37.07
20090331,1.3861530604800443,38.97
20090401,1.1801108152838635,40.61
20090402,0.28447478842188456,41.01
20090403,-0.8935536486773921,39.75
20090407,0.7441860465116301,40.79
20090408,-2.7132608850060413,36.97
20090409,1.2922537781996146,38.74
20090410,2.702897506126578,42.49
20090413,1.4948417432802286,44.62
20090414,2.1297192642788065,47.7
20090415,1.4962762356127035,49.91
20090416,0.7337735974918269,51.01
20090417,-1.5495662538904775,48.67
20090420,3.1008273357099547,53.28
20090421,0.026096033402911445,53.32
20090422,-4.389512131489692,46.59
20090423,0.5116310798826795,47.34
20090424,-0.3189900909461252,46.87
20090427,-2.941376727718381,42.55
20090428,0.5541915117502683,43.34
20090429,2.274312822659419,46.6
20090430,0.8663028649386062,47.87
20090504,3.0973152093054956,52.45
20090505,0.9314529353886325,53.87
20090506,1.585754208097745,56.31
20090507,-0.7229223977992416,55.18
20090508,1.2114963268462287,57.06
20090511,-2.9797529606519824,52.38
20090512,2.6643916524478284,56.44
20090513,0.6136537969828604,57.4
20090514,0.14612452350699634,57.63
20090515,0.20300704180675755,57.95
20090518,0.8103830326052552,59.23
20090519,0.3830936381335359,59.84
20090520,-0.462962962962965,59.1
20090521,-2.25015713387805,55.52
20090522,0.2636316872427935,55.93
20090525,1.0774065285705126,57.61
20090526,0.8946132859590339,59.02
20090527,-0.3144258583826054,58.52
20090601,0.9336361342417554,60
20090602,-0.08124999999999938,59.87
20090603,1.3573528491899634,62.04
20090604,-0.4381634164403958,61.33
20090605,-0.5330688650591942,60.47
20090608,0.08101202717016864,60.6
20090609,0.660024906600265,61.66
20090610,1.7567734751948505,64.5
20090611,-0.7537993920972652,63.26
20090612,-2.3459512434154117,59.43
20090615,1.4614564385623696,61.76
20090616,0.16073194856578432,62.02
20090617,0.9751882483644003,63.6
20090618,0.4584352078239595,64.35
20090619,0.7484027989047792,65.58
20090622,-0.9059065104481179,64.08
20090623,0.572891272549958,65.02
20090624,1.1028966185917088,66.84
20090625,-0.5933828818029285,65.85
20090626,0.198974977389188,66.18
20090629,0.5054759898904804,67.02
20090630,-0.856184888037359,65.59
20090701,0.6159792257986796,66.61
20090702,0.6002040693835697,67.61
20090703,0.811407433923983,68.97
20090706,0.5622299816535614,69.92
20090707,0.3648775894538492,70.54
20090708,0.48082561275946123,71.36
20090709,2.1416900093370606,75.03
20090710,0.6056104667771178,76.09
20090713,0.52246010562782,77.01
20090714,1.4236483814473733,79.53
20090715,0.4511780760875439,80.34
20090716,-0.1552622823555505,80.06
20090717,0.7275352660224499,81.37
20090720,1.1688812923857261,83.49
20090721,-2.027358439152005,79.77
20090722,1.4351671580352665,82.35
20090723,0.46065259117082924,83.19
20090724,-0.34936404825591794,82.55
20090727,1.8296357162421284,85.89
20090728,0.6831997417827695,87.16
20090729,-5.401795255396447,77.05
20090730,0.09036995199096509,77.21
20090731,2.3644263867727666,81.4
20090803,1.6152149944873129,84.33
20090804,0.43942928443552187,85.14
20090805,0.38349357243165905,85.85
20090806,-1.2536992198009078,83.52
20090807,-2.5283347863993,78.88
20090810,0.6037567084078654,79.96
20090811,0.016670371193616695,79.99
20090812,-5.078059892216247,70.85
20090813,-0.05853087503657761,70.75
20090814,-4.544655929721808,62.99
20090817,-6.104668998098051,53.04
20090818,1.9864087820177678,56.08
20090819,-5.830343413634031,46.98
20090820,3.796434889100553,52.56
20090821,2.7661248033560515,56.78
20090824,2.340859803546369,60.45
20090825,-1.5269554378311012,58
20090826,3.9620253164556862,64.26
20090827,2.5447461341775224,68.44
20090828,-2.6181429589171357,64.03
20090831,-6.785344144363837,52.9
20090901,-0.1569653368214463,52.66
20090902,0.799161535438242,53.88
20090903,5.790226150246935,62.79
20090904,1.541863750844663,65.3
20090907,0.5747126436781658,66.25
20090908,2.045112781954872,69.65
20090909,0.4538756262894239,70.42
20090910,-1.2029104565192017,68.37
20090911,1.8114866068777102,71.42
20090914,2.315949130789874,75.39
20090915,0.8951479559837994,76.96
20090916,0.30515370705244127,77.5
20090917,2.281690140845072,81.55
20090918,-2.974387221151198,76.15
20090921,2.0266818052795843,79.72
20090922,-2.220120186957497,75.73
20090923,-2.1567176919137454,71.94
20090924,0.2210073281377234,72.32
20090925,-0.8994893221912603,70.77
20090928,-3.1387246003396263,65.41
20090929,-2.424279064143653,61.4
20090930,1.0656753407682906,63.12
20091009,4.634624816086319,70.68
20091012,-0.10546051089759256,70.5
20091013,1.6422287390029267,73.3
20091014,0.8020773225620337,74.69
20091015,0.20607934054610588,75.05
20091016,-0.05712653527563116,74.95
20091019,2.5893112317805,79.48
20091020,0.7856028526855408,80.89
20091021,-0.9232130023771323,79.22
20091022,0.11159468809285311,79.42
20091023,1.3042024300524035,81.76
20091026,0.07702464788732488,81.9
20091027,-2.1330401319406223,78.02
20091028,1.331311088641729,80.39
20091029,-1.5854537391207901,77.53
20091030,0.6308792880076686,78.65
20091102,3.8678981248250643,85.56
20091103,2.2310842854063484,89.7
20091104,0.40063257775433403,90.46
20091105,0.6563057859918286,91.71
20091106,-0.19299984351364152,91.34
20091109,1.0870701369290359,93.42
20091110,-0.33088615448247927,92.78
20091111,0.18674136321195078,93.14
20091112,0.6264885575230306,94.35
20091113,1.5127347568819394,97.29
20091116,2.052815652085749,101.34
20091117,-0.03476706069336366,101.27
20091118,0.3279177224623897,101.93
20091119,1.3271925914920768,104.61
20091120,0.33233957284590776,105.29
20091123,1.6708071508597655,108.72
20091124,-4.379072441548493,99.58
20091125,2.8610081170457935,105.29
20091126,-4.057674509230857,96.96
20091127,-1.279447603574324,94.44
20091130,4.24295412466571,102.69
20091201,2.7579061621194834,108.28
20091202,1.133090071058196,110.64
20091203,0.7785795670337992,112.28
20091204,-1.4744676841906834,109.15
20091207,1.5300023906287263,112.35
20091208,-0.11302095596891215,112.11
20091209,-1.301211635472188,109.35
20091210,0.7403869118700834,110.9
20091211,-0.22285443338073696,110.43
20091214,-0.09504348239320892,110.23
20091215,0.6183703562764542,111.53
20091216,-0.2789202477190056,110.94
20091217,-3.5318099933630442,103.49
20091218,-3.120546464199714,97.14
20091221,1.1666835751242832,99.44
20091222,-2.196149217809862,95.06
20091223,1.5431149389931287,98.07
20091224,2.882819205331444,103.78
20091225,0.8734910197271795,105.56
20091228,1.167542323409232,107.96
20091229,0.34141180996345444,108.67
20091230,-0.2348205300234718,108.18
20091231,0.9270823325967736,110.11
20100104,0.07139117605063916,110.26
20100105,0.6277941596119163,111.58
20100106,-0.40646563947445147,110.72
20100107,-2.064350797266512,106.37
20100108,1.739593933226713,109.96
20100111,0.500095256239308,111.01
20100112,2.2321217003933524,115.72
20100113,-0.31985907658075297,115.03
20100114,1.9532158303492642,119.23
20100115,0.7207042831729016,120.81
20100118,1.7209365517866226,124.61
20100119,-0.2493210453675343,124.05
20100120,-3.88752510600312,115.34
20100121,-0.018575276307231103,115.3
20100122,-1.9879238272178412,111.02
20100125,-0.4407165197611418,110.09
20100126,-3.327145509067564,103.1
20100127,-0.5071393402264923,102.07
20100128,0.816548720740351,103.72
20100129,0.7559395248380119,105.26
20100201,-1.3933547695605508,102.4
20100202,-0.7015810276679746,100.98
20100203,1.9653696885262084,104.93
20100204,0.5806860879324693,106.12
20100205,-1.9503202018242072,102.1
20100208,0.19792182088074206,102.5
20100209,0.16790123456791317,102.84
20100210,1.163478603825685,105.2
20100211,-0.2095516569200928,104.77
20100212,0.9181032377789888,106.65
20100222,0.004839099927433921,106.66
20100223,0.39678699312879484,107.48
20100224,2.872566030460799,113.44
20100225,1.621064467766109,116.9
20100226,-0.2996772706316264,116.25
20100301,0.9942196531791847,118.4
20100302,-0.37087912087913066,117.59
20100303,1.070821269359823,119.92
20100304,-3.092033466715194,113.12
20100305,0.5067567567567766,114.2
20100308,1.3445378151260234,117.08
20100309,0.17044407591673139,117.45
20100310,-1.1542883421476247,114.94
20100311,-0.432678887131277,114.01
20100312,-1.425167048268794,110.96
20100315,-1.2798634812286491,108.26
20100316,0.7490636704119646,109.82
20100317,2.464016776284428,114.99
20100318,-0.046513791339108934,114.89
20100319,0.7957559681697424,116.6
20100322,0.5955678670360065,117.89
20100323,-0.5828629124787765,116.62
20100324,0.9001938879143134,118.57
20100325,-0.7732076680239564,116.88
20100326,1.3786425673183444,119.87
20100329,0.5503251921589847,121.08
20100330,0.6830106748688447,122.59
20100331,0.6289590727346139,123.99
20100401,1.1250502254565031,126.51
20100402,0.06180742572068354,126.65
20100406,0.3662033973086398,127.48
20100407,0.4439950764902667,128.49
20100408,0.039389032342751484,128.58
20100409,1.4699448770671086,131.94
20100412,1.0261274467534776,134.32
20100413,-1.6601229088426095,130.43
20100414,1.1543635811309239,133.09
20100415,-0.7593633360504337,131.32
20100416,0.025938094414645896,131.38
20100419,-3.22413346010888,123.92
20100420,1.3710253662021943,126.99
20100421,3.039781488171278,133.89
20100422,0.03420411304460025,133.97
20100423,-0.12822156686754793,133.67
20100426,-0.6718877048829452,132.1
20100427,-2.068074105988804,127.3
20100428,0.6643202815662219,128.81
20100429,-2.2332939993881307,123.7
20100430,-2.0920876173446623,119.02
20100504,-0.5570267555474406,117.8
20100505,2.474747474747474,123.19
20100506,-3.6515972937855468,115.04
20100507,-1.4369419642857317,111.95
20100510,0.4435008256664208,112.89
20100511,-2.34863074827375,107.89
20100512,-0.5435566886334064,106.76
20100513,1.944283226929766,110.78
20100514,0.3083784040231574,111.43
20100517,-6.9526557252991505,96.73
20100518,2.0179942052559463,100.7
20100519,-0.5132037867463857,99.67
20100520,-1.5725947813892915,96.53
20100521,2.6764361675062354,101.79
20100524,4.722731552604187,111.32
20100525,-0.9890213893621103,109.23
20100526,0.92720929121064,111.17
20100527,1.7142586541649019,114.79
20100528,-0.4516038921737575,113.82
20100531,-3.3252268263024964,106.71
20100601,-2.225339848096375,102.11
20100602,1.845529662065215,105.84
20100603,-1.2242518460940488,103.32
20100604,0.8066102695258648,104.96
20100607,-0.09758001561279706,104.76
20100608,1.220941590154312,107.26
20100609,2.7694683006851184,113
20100610,-0.2629107981220624,112.44
20100611,-0.2165317266051514,111.98
20100617,-0.4056986508161109,111.12
20100618,-3.8082607048124273,103.08
20100621,2.8067756549143175,108.78
20100622,1.1160072803908294,111.11
20100623,-0.6110558476623673,109.82
20100624,0.009531979792209988,109.84
20100625,-1.2866946244757926,107.14
20100628,-1.245534421164396,104.56
20100629,-5.4018380915135005,93.51
20100630,-2.315125833290277,89.03
20100701,-1.3013807332169502,86.57
20100702,-0.5681513640992453,85.51
20100705,-0.4905395935529189,84.6
20100706,2.6381365113759436,89.47
20100707,1.308914340001066,91.95
20100708,-0.40635582182858565,91.17
20100709,3.2641104775853913,97.41
20100712,1.1752190871789692,99.73
20100713,-1.8274670805587645,96.08
20100714,1.0352917176662757,98.11
20100715,-2.125082025137548,93.9
20100716,0.6034038164002054,95.07
20100719,3.0604398421079537,101.04
20100720,3.3077994428969637,107.69
20100721,0.36111512350136543,108.44
20100722,1.3001343312224245,111.15
20100723,0.1373431210039966,111.44
20100726,1.4472190692395026,114.5
20100727,-0.041958041958045644,114.41
20100728,2.150086283289032,119.02
20100729,0.6483426171125739,120.44
20100730,0.36744692433317017,121.25
20100802,1.7536723163841694,125.13
20100803,-1.305912139652643,122.19
20100804,0.5805841847067894,123.48
20100805,-0.04922140683730758,123.37
20100806,1.7728432645386594,127.33
20100809,1.0953239783574542,129.82
20100810,-3.4766338873901237,121.83
20100811,0.8745435693999992,123.77
20100812,-0.808866246592499,121.96
20100813,2.076950801946298,126.57
20100816,2.3348192611555074,131.86
20100817,0.2501509531613877,132.44
20100818,-0.623816898984686,130.99
20100819,-0.18615524481577772,130.56
20100820,-2.194656488549629,125.5
20100823,0.7184035476718531,127.12
20100824,1.2284255019372914,129.91
20100825,-1.691966421643254,126.02
20100826,0.9158481550305186,128.09
20100827,0.4208864921741551,129.05
20100830,1.912246234446613,133.43
20100831,0.5397763783575371,134.69
20100901,-1.9983808428139183,130
20100902,1.1826086956521875,132.72
20100903,0.709006531454115,134.37
20100906,-0.32854034219397255,133.6
20100907,0.590753424657553,134.98
20100908,0.6638862881947372,136.54
20100909,-1.9362475691214964,131.96
20100910,0.6466632177961618,133.46
20100913,2.0303263942431204,138.2
20100914,-0.020990764063799627,138.15
20100915,-1.528448456854925,134.51
20100916,-2.14916208264041,129.47
20100917,0.1307360439273264,129.77
20100920,-0.7442224833529187,128.06
20100921,0.07015697623433681,128.22
20100927,2.4231005170449516,133.75
20100928,-0.4491978609625691,132.7
20100929,-1.160292221744741,130
20100930,1.730434782608703,133.98
20101008,1.6796307376699016,137.91
20101011,0.07565886259508492,138.09
20101012,0.2688059137300858,138.73
20101013,0.24295228919701817,139.31
20101014,-1.9305503322050943,134.69
20101015,1.1419319101794168,137.37
20101018,0.522391203606154,138.61
20101019,3.516197979967295,147
20101020,0.2834008097166052,147.7
20101021,-0.230117077109393,147.13
20101022,0.5826892728523436,148.57
20101025,1.7580560807820778,152.94
20101026,-0.20558235154582993,152.42
20101027,-0.3525869582441832,151.53
20101028,0.05168369578181231,151.66
20101029,1.1126122546292638,154.46
20101101,2.0553328617464395,159.69
20101102,-0.6738803958565964,157.94
20101103,-1.0157400945956296,155.32
20101104,1.4648284505718534,159.06
