date,daily_return,cumulative_return
20090105,0.0,0
20090106,0.24999999999999467,0.25
20090107,0.06982543640898786,0.32
20090108,-0.2591706539075145,0.06
20090109,0.7195682590445784,0.78
20090112,0.4564397697955913,1.24
20090113,-1.076649545634123,0.15
20090114,1.5876185721417801,1.74
20090115,0.40298800864950746,2.15
20090116,0.3132648066568544,2.47
20090119,-0.1659022152825207,2.3
20090120,0.8504398826979731,3.17
20090121,-0.048463700688206046,3.12
20090122,1.3673390224980597,4.53
20090123,-0.16263273701327963,4.36
20090202,2.788424683786883,7.27
20090203,2.7127808334109993,10.18
20090204,2.0965692503176703,12.49
20090205,-1.3601208996355307,10.96
20090206,4.181687094448461,15.6
20090209,3.0363321799308007,19.11
20090210,2.5354714129796063,22.13
20090211,0.2865798739048575,22.48
20090212,1.1920313520574766,23.94
20090213,3.4452154268194146,28.21
20090216,2.0669214569846384,30.86
20090217,-3.6604004279382596,26.07
20090218,-3.6170381534068263,21.51
20090219,1.9751460785120578,23.91
20090220,3.236219836978438,27.92
20090223,3.3771106941838713,32.24
20090224,-3.198729582577131,28.01
20090225,0.4765252714631574,28.62
20090226,-6.717462292023013,19.98
20090227,-5.409234872478741,13.49
20090302,1.8944400387699512,15.64
20090303,0.856105153925979,16.63
20090304,6.036182800308643,23.67
20090305,1.3018517021104792,25.28
20090306,-0.5906768837803389,24.54
20090309,-3.886301589850649,19.7
20090310,2.8822055137844638,23.15
20090311,-0.4790905399918777,22.56
20090312,0.28557441253265203,22.91
20090313,-0.8542836221625771,21.86
20090316,1.386837354341064,23.55
20090317,3.3589639821934414,27.7
20090318,1.025841816758044,29.01
20090319,1.8138128827222655,31.35
20090320,-0.540540540540535,30.64
20090323,1.7222902633190484,32.89
20090324,0.6847768831364398,33.8
20090325,-1.928251121076241,31.22
20090326,2.0652339582380552,33.93
20090327,0.9557231389532017,35.21
20090330,0.5620886029139793,35.97
20090331,1.0369934544385062,37.38
20090401,1.4412578250108998,39.36
20090402,0.1865671641791078,39.62
20090403,-0.8236642314854548,38.47
20090407,1.0471582292193249,39.92
20090408,-3.0303030303030276,35.68
20090409,1.5403891509433887,37.77
20090410,2.983232924439294,41.88
20090413,1.557654355793625,44.09
20090414,2.3110555902560836,47.42
20090415,1.4991181657848296,49.63
20090416,0.6683151774376839,50.63
20090417,-1.3343955387372985,48.62
20090420,3.128784820347219,53.27
20090421,-0.07176877405885573,53.16
20090422,-4.217811439018016,46.7
20090423,0.44989775051125225,47.36
20090424,-0.31216069489685694,46.9
20090427,-3.485364193328788,41.78
20090428,1.2695725772323252,43.58
20090429,2.2983702465524614,46.88
20090430,1.2186819172113061,48.67
20090504,2.986480123764035,53.11
20090505,0.9013127816602573,54.49
20090506,1.391675836623718,56.64
20090507,-0.7980081716036702,55.39
20090508,0.8301692515605863,56.68
20090511,-3.312484043911157,51.49
20090512,2.316984619446827,55
