date,daily_return,cumulative_return
20090105,0.0,0
20090106,1.859999999999995,1.86
20090107,0.5890437855880615,2.46
20090108,-1.2102283818075321,1.22
20090109,2.5390239083185273,3.79
20090112,1.3007033432893111,5.14
20090113,-2.035381396233582,3
20090114,3.1650485436893083,6.26
20090115,1.1010728402032877,7.43
20090116,0.4840361165409979,7.95
20090119,-0.824455766558585,7.06
20090120,1.0087801232953497,8.14
20090121,0.0647309043832145,8.21
20090122,0.9148877183254855,9.2
20090123,-0.5494505494505475,8.6
20090202,2.49539594843462,11.31
20090203,2.5514329350462717,14.15
20090204,1.611914148050797,15.99
20090205,-1.870850935425472,13.82
20090206,4.7443331576172865,19.22
20090209,1.350444556282504,20.83
20090210,1.8372920632293344,23.05
20090211,1.2108898821617364,24.54
20090212,1.1321663722498876,25.95
20090213,3.6204843191742553,30.51
20090216,1.1263504712282657,31.98
20090217,-3.697529928777099,27.1
20090218,-2.8166797797010146,23.52
20090219,1.6353626943005128,25.54
20090220,2.6764377887525725,28.9
20090223,3.3669511249030393,33.24
20090224,-3.1897328129690816,28.99
20090225,0.04651523373904176,29.05
20090226,-7.423479271600142,19.47
20090227,-5.4909182221478225,12.91
20090302,2.1787264192719924,15.37
20090303,1.8028950333708993,17.45
20090304,6.0621541081311126,24.57
20090305,1.1318937143774521,25.98
20090306,0.4286394665820037,26.52
20090309,-3.7622510275055365,21.76
20090310,2.7184625492772563,25.07
20090311,-1.2153194211241614,23.55
20090312,0.22662889518412221,23.83
20090313,-0.9609949123798756,22.64
20090316,1.1741682974559575,24.08
20090317,3.0464216634429553,27.86
20090318,0.5318316909119547,28.54
20090319,1.2680877547845082,30.17
20090320,-0.7835906890988675,29.15
20090323,2.013162988772721,31.75
20090324,0.31119544592030923,32.16
20090325,-1.3922518159806274,30.32
20090326,1.9106813996316863,32.81
20090327,0.5797756193057557,33.58
20090330,0.5689474472226452,34.34
20090331,1.9428316212594998,36.95
20090401,1.190215407082884,38.58
20090402,0.3247221821330859,39.03
20090403,-1.603970366108054,36.8
20090407,0.7967836257310124,37.89
20090408,-2.8500979041264807,33.96
20090409,1.4705882352941124,35.93
20090410,2.6116383432649215,39.48
20090413,1.5055921995984933,41.58
20090414,1.8929227291990536,44.26
20090415,1.3517260501871409,46.21
20090416,0.8070583407427723,47.39
20090417,-1.390867765791437,45.34
20090420,2.9379386266684904,49.61
20090421,0.1604170844194952,49.85
20090422,-4.471137804471137,43.15
20090423,0.5448829898707652,43.93
20090424,-0.11811297158340617,43.76
20090427,-3.4849749582637757,38.75
20090428,1.088288288288286,40.26
20090429,2.274347640096974,43.45
20090430,0.5785988149180854,44.28
20090504,3.0288328250623664,48.65
20090505,1.0628994281870252,50.23
20090506,1.477734140983844,52.45
20090507,-0.9183338799606533,51.05
20090508,1.0923535253227534,52.7
20090511,-2.960052390307799,48.18
20090512,2.766905115400209,52.28
20090513,0.5384817441554945,53.1
20090514,0.3004572175048903,53.56
20090515,0.42979942693408546,54.22
20090518,0.8105304111010181,55.47
20090519,-0.10291374541711029,55.31
20090520,-0.43139527396820476,54.64
20090521,-2.3861872736678724,50.95
20090522,0.18549188473002687,51.23
20090525,2.0895325001653253,54.39
20090526,0.9780426193406244,55.9
20090527,0.05131494547787607,55.98
20090601,1.0514168483138908,57.62
20090602,-0.4377617053673344,56.93
20090603,1.2680813101382693,58.92
20090604,-0.7802668009061153,57.68
20090605,-0.7039573820395661,56.57
20090608,0.28741138149070977,57.02
20090609,1.063558782320717,58.69
20090610,1.808557565063973,61.56
20090611,-0.9284476355533644,60.06
20090612,-2.324128451830554,56.34
20090615,1.189714724318791,58.2
20090616,0.4804045512009969,58.96
20090617,0.7989431303472738,60.23
20090618,0.2870873119890094,60.69
20090619,0.8463501151285024,62.05
20090622,-1.3822894168466382,59.81
20090623,0.5005944559163922,60.61
20090624,1.0584646036983836,62.31
20090625,-0.7824533300474501,61.04
20090626,0.16766020864382725,61.31
20090629,0.520736470150629,62.15
20090630,-0.9065679925994385,60.68
20090701,0.5414488424197117,61.55
20090702,0.05571030640669772,61.64
20090703,0.8104429596634599,62.95
20090706,0.503221847192381,63.77
20090707,-0.0427428710997213,63.7
20090708,0.9651802076970029,65.28
20090709,1.9542594385285605,68.51
20090710,0.39166815025815094,69.17
20090713,0.5260980079210276,70.06
20090714,1.2701399506056532,72.22
20090715,0.6387179189409009,73.32
20090716,-0.09231479344566917,73.16
20090717,0.5197505197505503,74.06
20090720,1.1605193611398334,76.08
20090721,-1.7321671967287622,73.03
20090722,1.1558689244639542,75.03
20090723,0.13711935096840655,75.27
20090724,-0.10269869344439186,75.09
20090727,1.707693186361281,78.08
20090728,0.26954177897575704,78.56
20090729,-5.236335125448033,69.21
20090730,0.4846049287867249,70.03
20090731,2.317238134446864,73.97
20090803,1.3795481979651747,76.37
20090804,0.73708680614617,77.67
20090805,0.0,77.67
20090806,-1.5084144762762541,74.99
20090807,-2.7715869478255772,70.14
20090810,0.12342776536968803,70.35
20090811,-0.08218373936014212,70.21
20090812,-5.175959109335526,61.4
20090813,-0.11771995043370342,61.21
20090814,-4.62130140810123,53.76
20090817,-6.308532778355868,44.06
20090818,2.0199916701374443,46.97
20090819,-5.871946655780091,38.34
20090820,3.643197918172625,43.38
20090821,3.061793834565485,47.77
20090824,1.935440211138939,50.63
20090825,-1.8123879705237878,47.9
20090826,4.016227180527365,53.84
20090827,1.9955798231929167,56.91
20090828,-2.6512013256006717,52.75
20090831,-7.0769230769230695,41.94
20090901,-0.2536282936452028,41.58
20090902,0.7204407402175539,42.6
20090903,5.736325385694263,50.78
20090904,1.459079453508405,52.98
20090907,0.6798274284220307,54.02
20090908,2.863264511102459,58.43
20090909,0.7763681120999788,59.66
20090910,-1.334084930477275,57.53
20090911,1.5235193296514904,59.93
20090914,2.2509848058525517,63.53
20090915,0.5442426466091943,64.42
20090916,0.27977131735799077,64.88
20090917,2.2076661814653065,68.52
20090918,-3.2637075718015773,63.02
20090921,1.9138755980861344,66.14
20090922,-2.3775129408932116,62.19
20090923,-2.4539120784265456,58.21
20090924,0.31603564882118906,58.71
20090925,-0.9199168294373394,57.25
20090928,-2.906200317965013,52.68
20090929,-2.2858265653654786,49.19
20090930,0.8110463167772641,50.4
20091009,4.5279255319149,57.21
20091012,0.0,57.21
20091013,1.7683353476241948,59.99
20091014,0.33127070441902884,60.52
20091015,0.07475703962123159,60.64
20091016,-0.15562749003985576,60.39
20091019,2.5500342914146934,64.48
20091020,0.4863813229571967,65.28
20091021,-0.9741045498547929,63.67
20091022,0.13441681432149188,63.89
20091023,1.2447373238147597,65.93
20091026,-0.10847947929849555,65.75
20091027,-2.2564102564102573,62.01
20091028,1.462872662181347,64.38
20091029,-1.466115099160481,61.97
20091030,0.4013088843612955,62.62
20091102,4.163079572008366,69.39
20091103,2.1016588936773273,72.95
20091104,0.15033246603064487,73.21
20091105,0.5657871947347237,74.19
20091106,-0.44204604167863426,73.42
20091109,1.0033444816053505,75.16
20091110,-0.5994519296643075,74.11
20091111,-0.2010223421974544,73.76
20091112,0.35105893186002657,74.37
20091113,1.6057808109193106,77.17
20091116,1.873906417565041,80.49
20091117,-0.2991855504460017,79.95
